node,datetime,generator,Generation,Capacity Curtailed
PNegro220,2024-01-28T15:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-28T16:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-28T17:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-28T18:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-29T09:00:00.000000,LA_CONFLUENCIA,155.0,0.0
PNegro220,2024-01-30T09:00:00.000000,LA_CONFLUENCIA,100.0,0.0
PNegro220,2024-01-28T08:00:00.000000,LA_HIGUERA,0.0,0.0
PNegro220,2024-01-28T09:00:00.000000,LA_HIGUERA,0.0,0.0
PNegro220,2024-01-28T10:00:00.000000,LA_HIGUERA,0.0,0.0
PNegro220,2024-01-28T11:00:00.000000,LA_HIGUERA,0.0,0.0
PNegro220,2024-01-28T12:00:00.000000,LA_HIGUERA,0.0,0.0
